songid,year,name,artist ,genre,pricing
1,2017,Shape of You,Ed Sheeran,pop,$0.50
2,2017,Chained to the Rhythm,Katy Perry,pop,$0.40
3,2017,Paris,Chainsmokers,dance,$1.30
4,2016,How Far I'll Go (Moana) ,Auli'I Cravalho,pop/movie,$1.50
5,2017,Believer (Single),Imagine Dragons,alternative,$1.40
6,2017,Loyalty (ft. Rihanna),Kendrick Lamar,hip-hop / rap,$2.10
7,2017,Million Reasons,Lady Gaga,pop,$1.75
8,2017,Be Our Guest (Beauty and the Beast),Ewan McGregor,pop/movie,$1.30
9,2003,Kiss the Rain,Yiruma,classic,Free
10,2010,Hall of Fame (w.ill.iam) ,The Script ,pop/classic,Free
