songid	song	date	purchase	website
2	Chained to the Rhythm	4/27/17	1	www.scribed.com
3	Paris	4/21/17	1	www.musicnotes.com
4	How Far I'll Go	4/23/17	1	www.amazon.com
1	Shape Of You	4/26/17	1	www.scribed.com
6	Loyalty (ft. Rihanna)	4/25/17	0	www.amazon.com
5	Believer (Single)	4/1/17	0	www.spotify.com
7	Million Reasons	4/25/17	0	www.itunes.com
9	Kiss The Rain	3/5/10	1	www.amazon.com
10	Hall of Fame (w.ill.iam)	6/7/10	1	www.youtube.com
8	Be Our Guest (Beauty And The Beast)	4/7/17	0	www.musicnotes.com
